Year,Position,Driver,Car,Laps,Points
1962,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1962,15,Jack DoohanDOO,Alpine Renault,57,0
1962,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1962,17,Liam LawsonLAW,RB Honda RBPT,55,0
1962,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1962,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1962,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1963,1,Lando NorrisNOR,McLaren Mercedes,58,25
1963,2,Carlos SainzSAI,Ferrari,58,18
1963,3,Charles LeclercLEC,Ferrari,58,15
1963,4,Lewis HamiltonHAM,Mercedes,58,12
1963,5,George RussellRUS,Mercedes,58,10
1963,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1963,7,Pierre GaslyGAS,Alpine Renault,58,6
1963,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1963,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1963,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1963,11,Alexander AlbonALB,Williams Mercedes,57,0
1963,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1963,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1963,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1963,15,Jack DoohanDOO,Alpine Renault,57,0
1963,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1963,17,Liam LawsonLAW,RB Honda RBPT,55,0
1963,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1963,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1963,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1964,1,Lando NorrisNOR,McLaren Mercedes,58,25
1964,2,Carlos SainzSAI,Ferrari,58,18
1964,3,Charles LeclercLEC,Ferrari,58,15
1964,4,Lewis HamiltonHAM,Mercedes,58,12
1964,5,George RussellRUS,Mercedes,58,10
1964,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1964,7,Pierre GaslyGAS,Alpine Renault,58,6
1964,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1964,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1964,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1964,11,Alexander AlbonALB,Williams Mercedes,57,0
1964,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1964,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1964,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1964,15,Jack DoohanDOO,Alpine Renault,57,0
1964,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1964,17,Liam LawsonLAW,RB Honda RBPT,55,0
1964,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1964,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1964,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1965,1,Lando NorrisNOR,McLaren Mercedes,58,25
1965,2,Carlos SainzSAI,Ferrari,58,18
1965,3,Charles LeclercLEC,Ferrari,58,15
1965,4,Lewis HamiltonHAM,Mercedes,58,12
1965,5,George RussellRUS,Mercedes,58,10
1965,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1965,7,Pierre GaslyGAS,Alpine Renault,58,6
1965,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1965,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1965,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1965,11,Alexander AlbonALB,Williams Mercedes,57,0
1965,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1965,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1965,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1965,15,Jack DoohanDOO,Alpine Renault,57,0
1965,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1965,17,Liam LawsonLAW,RB Honda RBPT,55,0
1965,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1965,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1965,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1966,1,Lando NorrisNOR,McLaren Mercedes,58,25
1966,2,Carlos SainzSAI,Ferrari,58,18
1966,3,Charles LeclercLEC,Ferrari,58,15
1966,4,Lewis HamiltonHAM,Mercedes,58,12
1966,5,George RussellRUS,Mercedes,58,10
1966,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1966,7,Pierre GaslyGAS,Alpine Renault,58,6
1966,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1966,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1966,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1966,11,Alexander AlbonALB,Williams Mercedes,57,0
1966,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1966,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1966,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1966,15,Jack DoohanDOO,Alpine Renault,57,0
1966,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1966,17,Liam LawsonLAW,RB Honda RBPT,55,0
1966,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1966,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1966,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1967,1,Lando NorrisNOR,McLaren Mercedes,58,25
1967,2,Carlos SainzSAI,Ferrari,58,18
1967,3,Charles LeclercLEC,Ferrari,58,15
1967,4,Lewis HamiltonHAM,Mercedes,58,12
1967,5,George RussellRUS,Mercedes,58,10
1967,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1967,7,Pierre GaslyGAS,Alpine Renault,58,6
1967,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1967,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1967,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1967,11,Alexander AlbonALB,Williams Mercedes,57,0
1967,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1967,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1967,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1967,15,Jack DoohanDOO,Alpine Renault,57,0
1967,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1967,17,Liam LawsonLAW,RB Honda RBPT,55,0
1967,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1967,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1967,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1968,1,Lando NorrisNOR,McLaren Mercedes,58,25
1968,2,Carlos SainzSAI,Ferrari,58,18
1968,3,Charles LeclercLEC,Ferrari,58,15
1968,4,Lewis HamiltonHAM,Mercedes,58,12
1968,5,George RussellRUS,Mercedes,58,10
1968,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1968,7,Pierre GaslyGAS,Alpine Renault,58,6
1968,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1968,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1968,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1968,11,Alexander AlbonALB,Williams Mercedes,57,0
1968,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1968,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1968,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1968,15,Jack DoohanDOO,Alpine Renault,57,0
1968,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1968,17,Liam LawsonLAW,RB Honda RBPT,55,0
1968,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1968,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1968,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1969,1,Lando NorrisNOR,McLaren Mercedes,58,25
1969,2,Carlos SainzSAI,Ferrari,58,18
1969,3,Charles LeclercLEC,Ferrari,58,15
1969,4,Lewis HamiltonHAM,Mercedes,58,12
1969,5,George RussellRUS,Mercedes,58,10
1969,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1969,7,Pierre GaslyGAS,Alpine Renault,58,6
1969,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1969,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1969,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1969,11,Alexander AlbonALB,Williams Mercedes,57,0
1969,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1969,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1969,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1969,15,Jack DoohanDOO,Alpine Renault,57,0
1969,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1969,17,Liam LawsonLAW,RB Honda RBPT,55,0
1969,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1969,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1969,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1970,1,Lando NorrisNOR,McLaren Mercedes,58,25
1970,2,Carlos SainzSAI,Ferrari,58,18
1970,3,Charles LeclercLEC,Ferrari,58,15
1970,4,Lewis HamiltonHAM,Mercedes,58,12
1970,5,George RussellRUS,Mercedes,58,10
1970,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1970,7,Pierre GaslyGAS,Alpine Renault,58,6
1970,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1970,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1970,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1970,11,Alexander AlbonALB,Williams Mercedes,57,0
1970,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1970,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1970,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1970,15,Jack DoohanDOO,Alpine Renault,57,0
1970,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1970,17,Liam LawsonLAW,RB Honda RBPT,55,0
1970,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1970,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1970,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1971,1,Lando NorrisNOR,McLaren Mercedes,58,25
1971,2,Carlos SainzSAI,Ferrari,58,18
1971,3,Charles LeclercLEC,Ferrari,58,15
1971,4,Lewis HamiltonHAM,Mercedes,58,12
1971,5,George RussellRUS,Mercedes,58,10
1971,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1971,7,Pierre GaslyGAS,Alpine Renault,58,6
1971,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1971,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1971,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1971,11,Alexander AlbonALB,Williams Mercedes,57,0
1971,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1971,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1971,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1971,15,Jack DoohanDOO,Alpine Renault,57,0
1971,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1971,17,Liam LawsonLAW,RB Honda RBPT,55,0
1971,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1971,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1971,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1972,1,Lando NorrisNOR,McLaren Mercedes,58,25
1972,2,Carlos SainzSAI,Ferrari,58,18
1972,3,Charles LeclercLEC,Ferrari,58,15
1972,4,Lewis HamiltonHAM,Mercedes,58,12
1972,5,George RussellRUS,Mercedes,58,10
1972,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1972,7,Pierre GaslyGAS,Alpine Renault,58,6
1972,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1972,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1972,10,Oscar PiastriPIA,McLaren Mercedes,58,1
